Owner                          , Name                                                      , Stars , IdadeMeses, PRsMes, ReleasesMes, DiasDesdeAtualizacao, LinguagemPrincipal, TotalIssues, ClosedIssues, PercentualIssuesFechadas
freeCodeCamp                   , freeCodeCamp                                              , 427020,        129, 199.86,        0.00,                    0, TypeScript        ,       19856,        19665,                    99.04
codecrafters-io                , build-your-own-x                                          , 416847,         88,   1.62,        0.00,                    0, Markdown          ,         829,          596,                    71.89
sindresorhus                   , awesome                                                   , 397169,        134,   5.07,        0.00,                    0, N/A               ,         354,          340,                    96.05
EbookFoundation                , free-programming-books                                    , 367209,        143,  47.71,        0.00,                    0, Python            ,        1185,         1155,                    97.47
public-apis                    , public-apis                                               , 363855,        114,  16.42,        0.00,                    0, Python            ,         719,          704,                    97.91
kamranahmedse                  , developer-roadmap                                         , 335265,        102,  36.40,        0.01,                    0, TypeScript        ,        2948,         2759,                    93.59
jwasham                        , coding-interview-university                               , 326310,        111,   3.74,        0.00,                    0, N/A               ,         516,          453,                    87.79
donnemartin                    , system-design-primer                                      , 318477,        103,   1.94,        0.00,                    0, Python            ,         341,           91,                    26.69
996icu                         , 996.ICU                                                   , 274243,         78,  13.73,        0.00,                    0, N/A               ,           0,            0,                     0.00
vinta                          , awesome-python                                            , 258049,        135,   4.03,        0.00,                    0, Python            ,           0,            0,                     0.00
awesome-selfhosted             , awesome-selfhosted                                        , 245076,        123,  19.46,        0.01,                    0, N/A               ,         806,          806,                   100.00
practical-tutorials            , project-based-learning                                    , 242222,        101,   1.80,        0.00,                    0, N/A               ,         211,           80,                    37.91
facebook                       , react                                                     , 238595,        148,  82.25,        0.71,                    0, JavaScript        ,       14027,        13217,                    94.23
vuejs                          , vue                                                       , 209333,        146,   7.76,        1.71,                    0, TypeScript        ,       10028,         9673,                    96.46
TheAlgorithms                  , Python                                                    , 206485,        110,  27.34,        0.00,                    0, Python            ,        1596,         1523,                    95.43
torvalds                       , linux                                                     , 201289,        168,   0.06,        0.00,                    0, C                 ,           0,            0,                     0.00
trekhleb                       , javascript-algorithms                                     , 193175,         90,   3.36,        0.00,                    0, JavaScript        ,         367,          229,                    62.40
tensorflow                     , tensorflow                                                , 191458,        118, 307.58,        1.86,                    0, C++               ,       40765,        39872,                    97.81
ossu                           , computer-science                                          , 191427,        136,   2.20,        0.00,                    0, HTML              ,         653,          639,                    97.86
trimstray                      , the-book-of-secret-knowledge                              , 184703,         87,   1.40,        0.00,                    0, N/A               ,           0,            0,                     0.00
getify                         , You-Dont-Know-JS                                          , 183148,        142,   2.59,        0.00,                    0, N/A               ,         944,          863,                    91.42
CyC2018                        , CS-Notes                                                  , 181895,         91,   4.11,        0.00,                    0, N/A               ,         571,          448,                    78.46
